Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Allianz,140.3,6.8,133.5,915.8,66.4,Germany,Europe,51.165691,10.451526
Sinopec-China Petroleum,411.7,10.1,401.6,200,106.9,China,Asia,35.86166,104.195397
Mitsubishi UFJ Financial,59,11.9,47.1,2653.1,85.7,Japan,Asia,36.204824,138.252924
Bank of America,100.1,4.2,95.9,2210,135.5,USA,North America,37.09024,-95.712891
China Mobile,88.8,20.5,68.3,168.7,213.8,Hong Kong,Asia,22.396428,114.109497
ENI,163.7,10,153.7,185.2,86.3,Italy,Europe,41.87194,12.56738
Toyota Motor,224.5,3.4,221.1,371.3,167.2,Japan,Asia,36.204824,138.252924
Vodafone,74.4,11.1,63.3,219.9,135.7,UK,Europe,55.378051,-3.435973
IBM,104.5,16.6,87.9,119.2,239.5,USA,North America,37.09024,-95.712891
Proctor & Gamble,83.3,12.9,70.4,139.9,208.5,USA,North America,37.09024,-95.712891
Daimler,150.8,8,142.8,211.9,64.1,Germany,Europe,51.165691,10.451526
Pfizer,59,14.6,44.4,185.8,201.4,USA,North America,37.09024,-95.712891
Statoil,126.8,12.4,114.4,140.2,78.1,Norway,Europe,60.472024,8.468946
AXA Group,147.5,5.3,142.2,1005.4,45.3,France,Europe,46.227638,2.213749
Commonwealth Bank,47.8,7.3,40.5,735.2,117.5,Australia,Oceania,-25.274398,133.775136
Microsoft,72.9,15.5,57.4,128.7,234.8,USA,North America,37.09024,-95.712891
Itaú Unibanco Holding,70.5,6.2,64.3,453.6,82,Brazil,South America,-14.235004,-51.92528
Banco Santander,108.8,2.9,105.9,1647.8,82.1,Spain,Europe,40.463667,-3.74922
BHP Billiton,72.2,15.4,56.8,129.3,184.7,Australia,Oceania,-25.274398,133.775136
Banco Bradesco,78.3,5.6,72.7,417.5,72,Brazil,South America,-14.235004,-51.92528
Nippon Telegraph & Tel,126.9,5.6,121.3,226,58.2,Japan,Asia,36.204824,138.252924
Johnson & Johnson,67.2,10.9,56.3,121.3,221.4,USA,North America,37.09024,-95.712891
Westpac Banking Group,43.9,6.2,37.7,699.6,98.9,Australia,Oceania,-25.274398,133.775136
Goldman Sachs Group,41.7,7.5,34.2,938.6,74.5,USA,North America,37.09024,-95.712891
Royal Bank of Canada,38.3,7.7,30.6,838.5,87.2,Canada,North America,56.130366,-106.346771
Siemens,100.6,5.7,94.9,134.4,91.9,Germany,Europe,51.165691,10.451526
Sumitomo Mitsui Financial,47.3,6.3,41,1733.2,57.6,Japan,Asia,36.204824,138.252924
Ford Motor,134.3,5.7,128.6,190.6,51.8,USA,North America,37.09024,-95.712891
Bank of Communications,43.5,9.4,34.1,846.4,56.7,China,Asia,35.86166,104.195397
BMW Group,98.8,6.6,92.2,165.5,60,Germany,Europe,51.165691,10.451526
Comcast,62.6,6.2,56.4,165,106.3,USA,North America,37.09024,-95.712891
National Australian Bank,49.2,4.2,45,791.3,76.3,Australia,Oceania,-25.274398,133.775136
Rosneft,68.8,11.2,57.6,126.3,73.2,Russia,Europe,61.52401,105.318756
ING Group,130,5.1,124.9,1533.7,31.9,The Netherlands,Europe,52.132633,5.291266
Sberbank,36.1,10.8,25.3,441.1,73.3,Russia,Europe,61.52401,105.318756
Telefónica,82.3,5.2,77.1,161.5,67.1,Spain,Europe,40.463667,-3.74922
American International Group,65.7,3.4,62.3,548.6,57.5,USA,North America,37.09024,-95.712891
Lukoil,116.3,11,105.3,99,55.4,Russia,Europe,61.52401,105.318756
Prudential,90.2,3.6,86.6,489.4,44.7,UK,Europe,55.378051,-3.435973
ANZ,37.5,5.9,31.6,666.9,81.2,Australia,Oceania,-25.274398,133.775136
Banco do Brasil,69,6,63,552.2,37.9,Brazil,South America,-14.235004,-51.92528
Google,50.2,10.7,39.5,93.8,268.4,USA,North America,37.09024,-95.712891
BASF,103.9,6.4,97.5,83.5,90.1,Germany,Europe,51.165691,10.451526
General Motors,152.3,6.2,146.1,149.4,38.5,USA,North America,37.09024,-95.712891
TD Bank Group,30.6,6.7,23.9,819.4,76.9,Canada,North America,56.130366,-106.346771
Sanofi,46.1,6.6,39.5,132.4,131.6,France,Europe,46.227638,2.213749
ConocoPhillips,58.4,8.4,50,117.1,72.1,USA,North America,37.09024,-95.712891
EDF,95.9,4.4,91.5,325.2,35.3,France,Europe,46.227638,2.213749
Anheuser-Busch InBev,39.8,7.2,32.6,122.6,153.5,Belgium,Europe,50.503887,4.469936
Intel,53.3,11,42.3,84.4,105.7,USA,North America,37.09024,-95.712891
Mizuho Financial,32.8,5.9,26.9,2005,53.7,Japan,Asia,36.204824,138.252924
Coca-Cola,48,9,39,86.2,173.1,USA,North America,37.09024,-95.712891
Cisco Systems,47.3,9.3,38,95.4,116.9,USA,North America,37.09024,-95.712891
Munich Re,88,4.2,83.8,340.6,34.9,Germany,Europe,51.165691,10.451526
Merck & Co,47.3,6.2,41.1,106.1,133.3,USA,North America,37.09024,-95.712891
Ping An Insurance Group,51.1,3.2,47.9,456.2,57,China,Asia,35.86166,104.195397
Bank of Nova Scotia,27.6,6.4,21.2,737.2,70.6,Canada,North America,56.130366,-106.346771
Nissan Motor,113.7,4.1,109.6,133.4,43.4,Japan,Asia,36.204824,138.252924
Honda Motor,96,2.6,93.4,140.9,72.4,Japan,Asia,36.204824,138.252924
Vale,45.7,4.8,40.9,130.4,92.7,Brazil,South America,-14.235004,-51.92528
PepsiCo,65.5,6.2,59.3,74.6,118.9,USA,North America,37.09024,-95.712891
Hyundai Motor,75,7.6,67.4,114.3,41.5,South Korea,Asia,35.907757,127.766922
UnitedHealth Group,110.6,5.5,105.1,80.9,56.1,USA,North America,37.09024,-95.712891
BBVA-Banco Bilbao Vizcaya,52.1,2.2,49.9,840.8,54.7,Spain,Europe,40.463667,-3.74922
United Technologies,57.7,5.1,52.6,89.4,85.5,USA,North America,37.09024,-95.712891
Saudi Basic Industries,50.4,6.6,43.8,90.2,74.8,Saudi Arabia,Asia,23.885942,45.079162
GDF Suez,128,2,126,268.9,45,France,Europe,46.227638,2.213749
Boeing,81.7,3.9,77.8,88.9,65.4,USA,North America,37.09024,-95.712891
Caterpillar,65.9,5.7,60.2,89.4,58.2,USA,North America,37.09024,-95.712891
Standard Chartered,26.9,4.9,22,636.5,64.4,UK,Europe,55.378051,-3.435973
E.ON,174.2,2.9,171.3,184.9,32.5,Germany,Europe,51.165691,10.451526
América Móvil,60.2,7.1,53.1,74.6,70.7,Mexico,North America,23.634501,-102.552784
China Merchants Bank,28.4,7.3,21.1,547,44.1,China,Asia,35.86166,104.195397
Oracle,37.1,10.6,26.5,79.4,172,USA,North America,37.09024,-95.712891
Unilever,67.7,5.9,61.8,59.9,122.3,The Netherlands,Europe,52.132633,5.291266
CVS Caremark,123.1,3.9,119.2,65.9,66,USA,North America,37.09024,-95.712891
Tesco,102.8,4.5,98.3,81.1,46.9,UK,Europe,55.378051,-3.435973
China Life Insurance,63.2,1.8,61.4,304.6,79.9,China,Asia,35.86166,104.195397
China Minsheng Banking,27.9,6.1,21.8,515.5,43.9,China,Asia,35.86166,104.195397
Walt Disney,42.8,5.6,37.2,80.6,104,USA,North America,37.09024,-95.712891
American Express,33.8,4.5,29.3,153.1,73,USA,North America,37.09024,-95.712891
Mitsubishi Corp,67.2,5.5,61.7,152.6,32.1,Japan,Asia,36.204824,138.252924
Cnooc,39.2,10.1,29.1,73.2,84.3,Hong Kong,Asia,22.396428,114.109497
GlaxoSmithKline,43,7.4,35.6,63.5,111.1,UK,Europe,55.378051,-3.435973
Hon Hai Precision,132.1,10.7,121.4,65.8,32.1,Taiwan,Asia,23.69781,120.960515
Ecopetrol,39,8.4,30.6,64.4,116.2,Colombia,South America,4.570868,-74.297333
China Shenhua Energy,39.7,7.7,32,70.2,70.8,China,Asia,35.86166,104.195397
US Bancorp,22.2,5.6,16.6,353.9,63.8,USA,North America,37.09024,-95.712891
Hitachi,116.8,4.2,112.6,113.2,28.5,Japan,Asia,36.204824,138.252924
Nordea Bank,23.2,4.2,19,892.6,47.1,Sweden,Europe,60.128161,18.643501
Schlumberger,42.3,5.5,36.8,61.5,105.5,The Netherlands,Europe,52.132633,5.291266
Bayer,52.5,3.2,49.3,65.6,84.9,Germany,Europe,51.165691,10.451526
Reliance Industries,70.3,3.9,66.4,64.2,50.4,India,Asia,20.593684,78.96288
MetLife,68.2,1.3,66.9,836.8,44,USA,North America,37.09024,-95.712891
Abbott Laboratories,39.9,6,33.9,67.2,53.6,USA,North America,37.09024,-95.712891
Iberdrola,45.1,3.7,41.4,121.7,33.6,Spain,Europe,40.463667,-3.74922
Shanghai Pudong Development,25.4,5.4,20,504.5,31.6,China,Asia,35.86166,104.195397
Mitsui & Co,63.4,5.2,58.2,109.3,27,Japan,Asia,36.204824,138.252924
China Citic Bank,24.4,4.9,19.5,474.7,32.5,China,Asia,35.86166,104.195397
Home Depot,74.8,4.5,70.3,41.1,103.3,USA,North America,37.09024,-95.712891
Phillips 66,166.1,4.1,162,48.1,39.9,USA,North America,37.09024,-95.712891
Bank of Montreal,20.9,4.1,16.8,542.9,41,Canada,North America,56.130366,-106.346771
Møller-Maersk,60.5,3.8,56.7,73.7,35,Denmark,Europe,56.26392,9.501785
Verizon Communications,115.8,0.9,114.9,225.2,137.3,USA,North America,37.09024,-95.712891
EADS,74.5,1.6,72.9,115.5,46,The Netherlands,Europe,52.132633,5.291266
State Bank of India,35.1,3,32.1,359.1,28.1,India,Asia,20.593684,78.96288
Hutchinson Whampoa,31.3,3.4,27.9,103.7,45.1,Hong Kong,Asia,22.396428,114.109497
News Corp,34.3,4,30.3,62.7,70.6,USA,North America,37.09024,-95.712891
China Telecom,44.9,2.4,42.5,87.4,42,China,Asia,35.86166,104.195397
Capital One Financial,23.8,3.5,20.3,312.9,32.1,USA,North America,37.09024,-95.712891
Repsol YPF,77.7,2.7,75,81.2,28.8,Spain,Europe,40.463667,-3.74922
Suncor Energy,38.8,2.8,36,76.8,47.3,Canada,North America,56.130366,-106.346771
Industrial Bank,18.7,4.1,14.6,382.3,38.2,China,Asia,35.86166,104.195397
PTT PCL,89.9,3.4,86.5,53.3,32.9,Thailand,Asia,15.870032,100.992541
ENEL,111.9,1.1,110.8,226.3,32.2,Italy,Europe,41.87194,12.56738
Société Générale,107.8,1,106.8,1648.9,29.5,France,Europe,46.227638,2.213749
Target,73.3,3,70.3,48.2,43.1,USA,North America,37.09024,-95.712891
Softbank,38.7,3.8,34.9,58.3,47.2,Japan,Asia,36.204824,138.252924
AstraZeneca,28.6,6.4,22.2,52.5,58,UK,Europe,55.378051,-3.435973
AIA Group,20.4,3,17.4,134.4,53.5,Hong Kong,Asia,22.396428,114.109497
Occidental Petroleum,24.3,4.6,19.7,64.2,67.4,USA,North America,37.09024,-95.712891
Philip Morris International,31.4,8.8,22.6,37.7,150.6,USA,North America,37.09024,-95.712891
Time Warner,28.7,3,25.7,68.3,53,USA,North America,37.09024,-95.712891
UniCredit Group,54.2,1.1,53.1,1221.9,29,Italy,Europe,41.87194,12.56738
Oil & Natural Gas,28.9,5.5,23.4,52.1,50.5,India,Asia,20.593684,78.96288
Manulife Financial,37.3,2,35.3,488.2,27.8,Canada,North America,56.130366,-106.346771
TNK-BP Holding,43.3,7.6,35.7,43.3,33,Russia,Europe,61.52401,105.318756
British American Tobacco,24.1,6.1,18,44.2,102,UK,Europe,55.378051,-3.435973
Canadian Imperial Bank,17.1,3,14.1,393.2,32,Canada,North America,56.130366,-106.346771
Vinci,51.7,2.5,49.2,80.9,25.4,France,Europe,46.227638,2.213749
BG Group,19.3,4.6,14.7,64.4,60.6,UK,Europe,55.378051,-3.435973
Qualcomm,20.5,6.6,13.9,44.8,111.6,USA,North America,37.09024,-95.712891
PNC Financial Services,16.6,3,13.6,305.1,35.3,USA,North America,37.09024,-95.712891
Deere & Co,36.8,3.2,33.6,55.2,35.9,USA,North America,37.09024,-95.712891
SAIC Motor,75,3.3,71.7,48.1,26.7,China,Asia,35.86166,104.195397
Wesfarmers,59,2.2,56.8,42.9,51.9,Australia,Oceania,-25.274398,133.775136
France Telecom,57.4,1.5,55.9,113.9,29.2,France,Europe,46.227638,2.213749
Express Scripts,93.9,1.3,92.6,58.1,48.9,USA,North America,37.09024,-95.712891
EI du Pont de Nemours,35.3,2.8,32.5,49.7,46.6,USA,North America,37.09024,-95.712891
Itochu,51.6,3.6,48,78.1,20.2,Japan,Asia,36.204824,138.252924
Itaúsa,27.8,2.2,25.6,172.4,25.4,Brazil,South America,-14.235004,-51.92528
Travelers Cos,25.7,2.5,23.2,104.9,31.1,USA,North America,37.09024,-95.712891
Renault,54.4,2.3,52.1,98.9,20.3,France,Europe,46.227638,2.213749
Honeywell International,37.7,2.9,34.8,41.9,57.6,USA,North America,37.09024,-95.712891
L'Oréal Group,28.9,3.7,25.2,39,94.8,France,Europe,46.227638,2.213749
RWE Group,67,1.7,65.3,111.5,22.9,Germany,Europe,51.165691,10.451526
National Grid,21.7,3.3,18.4,75.6,40.7,UK,Europe,55.378051,-3.435973
McDonald's,27.6,5.5,22.1,35.4,99.9,USA,North America,37.09024,-95.712891
Canon,40.1,2.6,37.5,45.7,41.9,Japan,Asia,36.204824,138.252924
Mondelez International,35,1.6,33.4,75.5,50.5,USA,North America,37.09024,-95.712891
Allstate,33.3,2.3,31,126.9,22.9,USA,North America,37.09024,-95.712891
Posco,56.5,2.2,54.3,74.5,22.9,South Korea,Asia,35.907757,127.766922
Jardine Matheson,39.6,1.7,37.9,63.5,43.3,Hong Kong,Asia,22.396428,114.109497
Aflac,25.4,2.9,22.5,131.1,23.9,USA,North America,37.09024,-95.712891
Surgutneftegas,23.4,7.2,16.2,51.4,33.7,Russia,Europe,61.52401,105.318756
SABMiller,16.7,4.3,12.4,55,84.1,UK,Europe,55.378051,-3.435973
Union Pacific,20.9,3.9,17,47.2,66.5,USA,North America,37.09024,-95.712891
Deutsche Post,73.2,2.2,71,45,29.4,Germany,Europe,51.165691,10.451526
Japan Tobacco,24.6,3.9,20.7,43,61.6,Japan,Asia,36.204824,138.252924
Amgen,17.3,4.3,13,54.3,68.7,USA,North America,37.09024,-95.712891
Dow Chemical,56.8,1.2,55.6,69.6,40.7,USA,North America,37.09024,-95.712891
3M,29.9,4.4,25.5,33.9,73.4,USA,North America,37.09024,-95.712891
Bank of New York Mellon,15.1,2.4,12.7,359,33.5,USA,North America,37.09024,-95.712891
Christian Dior,38.6,1.8,36.8,69.9,32,France,Europe,46.227638,2.213749
Valero Energy,139.2,2.1,137.1,44.5,24.4,USA,North America,37.09024,-95.712891
Duke Energy,19.6,1.8,17.8,113.9,49.3,USA,North America,37.09024,-95.712891
KDDI,43.1,2.9,40.2,47.4,29.1,Japan,Asia,36.204824,138.252924
Telstra,25.8,3.5,22.3,40.5,58.4,Australia,Oceania,-25.274398,133.775136
WellPoint,61.7,2.7,59,59,19.8,USA,North America,37.09024,-95.712891
Walgreen,70.8,2.1,68.7,35.6,40.2,USA,North America,37.09024,-95.712891
Schneider Electric,31.6,2.4,29.2,45.4,42.2,France,Europe,46.227638,2.213749
Dell,56.9,2.4,54.5,47.5,25,USA,North America,37.09024,-95.712891
China State Construction,76.7,2.2,74.5,79.9,16.9,China,Asia,35.86166,104.195397
Aegon,55.2,2,53.2,483.2,12.7,The Netherlands,Europe,52.132633,5.291266
Legal & General Group,56.9,1.3,55.6,562.9,15.5,UK,Europe,55.378051,-3.435973
Lockheed Martin,47.2,2.7,44.5,38.7,29.9,USA,North America,37.09024,-95.712891
Volvo Group,46.7,1.7,45,50.4,31.9,Sweden,Europe,60.128161,18.643501
SAP,20.9,3.6,17.3,35.5,103.9,Germany,Europe,51.165691,10.451526
Costco Wholesale,103.1,2,101.1,29.1,44.2,USA,North America,37.09024,-95.712891
JX Holdings,129.5,2.1,127.4,80.7,14.4,Japan,Asia,36.204824,138.252924
Sumitomo Corp,39.4,3,36.4,86.6,16.2,Japan,Asia,36.204824,138.252924
Carrefour,101.3,1.6,99.7,59.4,19.8,France,Europe,46.227638,2.213749
China Unicom,39.5,1.1,38.4,82.8,32.4,Hong Kong,Asia,22.396428,114.109497
Eli Lilly & Co,22.6,4.1,18.5,34.4,62.5,USA,North America,37.09024,-95.712891
DNB,14.4,2.5,11.9,406.8,26.5,Norway,Europe,60.472024,8.468946
East Japan Railway,30.6,1.3,29.3,82.9,32.5,Japan,Asia,36.204824,138.252924
Seven & I Holdings,58.9,1.6,57.3,47.6,27.4,Japan,Asia,36.204824,138.252924
BT Group,30.9,3.2,27.7,37.3,32.5,UK,Europe,55.378051,-3.435973
Lowe's Cos,50.5,2,48.5,32.7,43.1,USA,North America,37.09024,-95.712891
Old Mutual,32.2,1.9,30.3,230.4,15.5,UK,Europe,55.378051,-3.435973
Marathon Petroleum,76.5,3.4,73.1,27.2,29.1,USA,North America,37.09024,-95.712891
People's Insurance Company,41.3,1.1,40.2,110.5,24.4,China,Asia,35.86166,104.195397
Taiwan Semiconductor,17.4,5.7,11.7,32.7,89.9,Taiwan,Asia,23.69781,120.960515
EMC,21.7,2.7,19,38.1,53.3,USA,North America,37.09024,-95.712891
Southern Co,16.5,2.4,14.1,63.1,39.6,USA,North America,37.09024,-95.712891
Danone,27.5,2.2,25.3,38,43.3,France,Europe,46.227638,2.213749
Standard Bank Group,21,1.9,19.1,182,19.9,South Africa,Africa,-30.559482,22.937506
Altria Group,17.5,4.2,13.3,35.3,67.7,USA,North America,37.09024,-95.712891
VTB Bank,16.1,2.8,13.3,210,18.9,Russia,Europe,61.52401,105.318756
Teva Pharmaceutical Inds,20.9,2,18.9,50.5,35.5,Israel,Asia,31.046051,34.851612
Continental,43.2,2.5,40.7,35.2,25.3,Germany,Europe,51.165691,10.451526
Hess,37.7,2,35.7,43.4,24.8,USA,North America,37.09024,-95.712891
Archer Daniels Midland,90.6,1.4,89.2,45.1,21.7,USA,North America,37.09024,-95.712891
McKesson,123.5,1.6,121.9,33.4,25.7,USA,North America,37.09024,-95.712891
Gas Natural Fenosa,32.9,1.9,31,60.4,20.4,Spain,Europe,40.463667,-3.74922
BCE,20,2.8,17.2,41.2,35.6,Canada,North America,56.130366,-106.346771
China Everbright Bank,13.5,2.9,10.6,275.1,21,China,Asia,35.86166,104.195397
Diageo,16.9,3,13.9,34.5,76.4,UK,Europe,55.378051,-3.435973
SEB,14.4,1.8,12.6,376.8,23.5,Sweden,Europe,60.128161,18.643501
LyondellBasell Industries,46.4,2.9,43.5,24.2,36.8,The Netherlands,Europe,52.132633,5.291266
Centrica,38.9,2.1,36.8,35.4,27.7,UK,Europe,55.378051,-3.435973
FedEx,43.9,1.8,42.1,31.8,34.3,USA,North America,37.09024,-95.712891
Svenska Handelsbanken,11.5,2.2,9.3,367,28.2,Sweden,Europe,60.128161,18.643501
Bridgestone,38.1,2.2,35.9,35.1,27.4,Japan,Asia,36.204824,138.252924
Sumitomo Mitsui Trust,15.4,2,13.4,415.4,18.4,Japan,Asia,36.204824,138.252924
Time Warner Cable,21.4,2.2,19.2,49.8,27.3,USA,North America,37.09024,-95.712891
Shinhan Financial Group,16.3,2.1,14.2,277.5,17.2,South Korea,Asia,35.907757,127.766922
Marubeni,53,2.1,50.9,61.9,13.7,Japan,Asia,36.204824,138.252924
Natixis,19.2,2.2,17,658,13.2,France,Europe,46.227638,2.213749
United Parcel Service,54.1,0.8,53.3,38.9,81.5,USA,North America,37.09024,-95.712891
Apache,17.1,2,15.1,60.7,29.6,USA,North America,37.09024,-95.712891
BlackRock,9.3,2.5,6.8,200.5,44.2,USA,North America,37.09024,-95.712891
AbbVie,18,5.3,12.7,27,60.9,USA,North America,37.09024,-95.712891
Medtronic,16.4,3.5,12.9,34.9,46,USA,North America,37.09024,-95.712891
Exelon,23.5,1.2,22.3,78.6,28.5,USA,North America,37.09024,-95.712891
Saint-Gobain,57,1,56,61,21.6,France,Europe,46.227638,2.213749
Halliburton,28.5,2.6,25.9,27.4,39,USA,North America,37.09024,-95.712891
Bristol-Myers Squibb,17.6,2,15.6,35.9,63.8,USA,North America,37.09024,-95.712891
Toshiba,73.7,0.9,72.8,65.1,21.3,Japan,Asia,36.204824,138.252924
Denso,38.1,1.1,37,43.2,34.9,Japan,Asia,36.204824,138.252924
Swedbank,10.9,2.2,8.7,283.8,27.4,Sweden,Europe,60.128161,18.643501
Brookfield Asset Management,18.6,1.4,17.2,108.6,23,Canada,North America,56.130366,-106.346771
Anadarko Petroleum,13.4,2.4,11,52.6,42.7,USA,North America,37.09024,-95.712891
Kia Motors,42,3.4,38.6,30.5,19.8,South Korea,Asia,35.907757,127.766922
Prudential Financial,84.8,0.5,84.3,709.3,28.1,USA,North America,37.09024,-95.712891
VimpelCom,23.1,2.1,21,55.4,19,The Netherlands,Europe,52.132633,5.291266
Woolworths,56.4,1.9,54.5,21.5,46.3,Australia,Oceania,-25.274398,133.775136
Linde,20.2,1.6,18.6,43.5,35.2,Germany,Europe,51.165691,10.451526
Freeport-McMoRan Copper,18,3,15,35.4,32.1,USA,North America,37.09024,-95.712891
DBS Group,8.8,3.1,5.7,288.9,30.7,Singapore,Asia,1.352083,103.819836
Ebay,14.1,2.6,11.5,37.1,65.4,USA,North America,37.09024,-95.712891
Danaher,18.3,2.4,15.9,32.9,43.1,USA,North America,37.09024,-95.712891
Sun Life Financial,17.6,2,15.6,226.8,16.9,Canada,North America,56.130366,-106.346771
China Pacific Insurance,27.3,0.8,26.5,109.3,28.6,China,Asia,35.86166,104.195397
Hyundai Mobis,28.9,3.3,25.6,28.1,26.4,South Korea,Asia,35.907757,127.766922
China Communications Construction,45.7,1.9,43.8,69.6,12.9,China,Asia,35.86166,104.195397
Takeda Pharmaceutical,18.2,1.5,16.7,43.2,43.6,Japan,Asia,36.204824,138.252924
NextEra Energy,14.3,1.9,12.4,64.4,31.6,USA,North America,37.09024,-95.712891
Ping An Bank,13.2,2.2,11,257.3,18.3,China,Asia,35.86166,104.195397
Air Luquide,20.2,2.1,18.1,32.5,39.3,France,Europe,46.227638,2.213749
Danske Bank,22.6,0.8,21.8,615.6,19.1,Denmark,Europe,56.26392,9.501785
TeliaSonera,16.1,3.1,13,38.1,31,Sweden,Europe,60.128161,18.643501
Standard Life,31.2,1.1,30.1,283,13.5,UK,Europe,55.378051,-3.435973
Canadian Natural Resources,14.7,1.9,12.8,49.2,36,Canada,North America,56.130366,-106.346771
Husky Energy,22.5,2,20.5,35.3,29,Canada,North America,56.130366,-106.346771
Cigna,29.1,1.6,27.5,53.7,17.9,USA,North America,37.09024,-95.712891
Rolls-Royce Holding,19.8,3.7,16.1,28.9,30.7,UK,Europe,55.378051,-3.435973
Ericsson,35,0.9,34.1,40.4,44.1,Sweden,Europe,60.128161,18.643501
State Street,10.1,2.1,8,222.6,27.4,USA,North America,37.09024,-95.712891
CNP Assurances,53.2,1.2,52,466.1,9.9,France,Europe,46.227638,2.213749
Singtel,15,3.2,11.8,31.4,45.7,Singapore,Asia,1.352083,103.819836
Imperial Tobacco Group,23.7,1.1,22.6,44.4,35.2,UK,Europe,55.378051,-3.435973
National Oilwell Varco,20,2.5,17.5,31.5,30.1,USA,North America,37.09024,-95.712891
Oversea-Chinese Banking,8.3,3.3,5,242.2,29,Singapore,Asia,1.352083,103.819836
Power Corp of Canada,34.2,1.1,33.1,272.8,12.4,Canada,North America,56.130366,-106.346771
Heineken Holding,24.3,1.9,22.4,46.7,18.6,The Netherlands,Europe,52.132633,5.291266
Deutsche Bank,55,0.4,54.6,2652.6,41.3,Germany,Europe,51.165691,10.451526
Central Japan Railway,18.2,1.6,16.6,61.3,20.6,Japan,Asia,36.204824,138.252924
Mitsubishi Electric,44,1.4,42.6,39.1,18.8,Japan,Asia,36.204824,138.252924
Nippon Steel & Sumitomo Metal,49.4,0.7,48.7,58.9,25.6,Japan,Asia,36.204824,138.252924
Emerson Electric,24.7,2.1,22.6,23.8,41.6,USA,North America,37.09024,-95.712891
Sun Hung Kai Properties,8.8,5.6,3.2,60.3,36.4,Hong Kong,Asia,22.396428,114.109497
Koç Holding,47.1,1.3,45.8,61.1,13.6,Turkey,Europe,38.963745,35.243322
ICICI Bank,13.2,1.5,11.7,118,22.8,India,Asia,20.593684,78.96288
BB&T,10.7,2,8.7,183.9,21.7,USA,North America,37.09024,-95.712891
Aetna,36.6,1.7,34.9,41.5,16.7,USA,North America,37.09024,-95.712891
Wilmar International,46.3,1.3,45,41.7,17,Singapore,Asia,1.352083,103.819836
China Vanke,15.5,2,13.5,60.3,18.9,China,Asia,35.86166,104.195397
Visa,10.7,2.4,8.3,35.9,104.8,USA,North America,37.09024,-95.712891
China Railway Construction,74.5,1.3,73.2,77.1,10.4,China,Asia,35.86166,104.195397
Henkel,21.8,2,19.8,25,37.3,Germany,Europe,51.165691,10.451526
Accenture,30.1,3.1,27,16.4,53.3,Ireland,Europe,53.41291,-8.24389
Reckitt Benckiser Group,15.6,3,12.6,24.4,51.2,UK,Europe,55.378051,-3.435973
Sasol,20.8,2.9,17.9,24.7,29.4,South Africa,Africa,-30.559482,22.937506
Inditex,20.6,3,17.6,17.5,83.3,Spain,Europe,40.463667,-3.74922
China Railway Group,76.7,1.2,75.5,88.4,10.2,China,Asia,35.86166,104.195397
KBC Group,21.7,0.8,20.9,338.7,16.3,Belgium,Europe,50.503887,4.469936
Johnson Controls,42,1.2,40.8,31.2,23.9,USA,North America,37.09024,-95.712891
BAE Systems,26.3,1.7,24.6,36.2,18.8,UK,Europe,55.378051,-3.435973
